"Country","Term"
"Albania","4"
"Andorra","4"
"Armenia","5"
"Austria","5"
"Azerbaijan","5"
"Belarus","4"
"Belgium","5"
"Bosnia and Herzegovina","4"
"Bulgaria","4"
"Croatia","4"
"Cyprus","5"
"Czech Republic","4"
"Denmark","4"
"Estonia","4"
"Finland","4"
"France","5"
"Georgia","4"
"Germany","4"
"Greece","4"
"Hungary","4"
"Iceland","4"
"Ireland","5"
"Italy","5"
"Latvia","4"
"Liechtenstein","4"
"Lithuania","4"
"Luxembourg","5"
"Malta","5"
"Monaco","5"
"Montenegro","4"
"Netherlands","4"
"North Macedonia","4"
"Norway","4"
"Poland","4"
"Portugal","4"
"Republic of Moldova","4"
"Romania","4"
"Russian Federation","5"
"San Marino","5"
"Serbia","4"
"Slovakia","4"
"Slovenia","4"
"Spain","4"
"Sweden","4"
"Switzerland","4"
"Turkey","5"
"Ukraine","5"
"United Kingdom","5"
